Brand,Category,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm)
aprilia,Naked bike,1077.0,175.0,121.0,V4,6-speed,81.0,52.3,18.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,185.0,1450.0,825.0
ducati,Allround,1262.0,158.0,129.0,V2,6-speed,106.0,71.5,20.0,Desmodromic valve control,Liquid,Chain,206.0,1585.0,825.0
bmw,Touring,1649.0,160.0,175.0,In-line six,6-speed,72.0,67.5,24.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,295.0,1680.0,810.0
aprilia,Naked bike,1077.0,173.0,120.0,V4,6-speed,78.0,52.3,18.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,182.0,1445.0,825.0
aprilia,Sport,997.6,138.0,101.0,Twin,6-speed,97.0,67.5,18.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,185.0,1415.0,820.0
yamaha,Sport,998.0,150.0,108.0,In-line four,6-speed,74.0,58.0,18.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,175.0,1395.0,820.0
ducati,Allround,1198.4,147.0,124.0,V2,6-speed,106.0,67.9,20.0,Desmodromic valve control,Liquid,Chain,196.0,1530.0,850.0
ducati,Sport,849.4,134.0,96.0,V2,6-speed,94.0,61.2,15.5,Desmodromic valve control,Liquid,Chain,168.0,1430.0,830.0
ducati,Sport touring,1198.4,150.0,118.0,V2,6-speed,106.0,67.9,20.0,Desmodromic valve control,Liquid,Chain,189.0,1530.0,850.0
ducati,Naked bike,803.0,85.8,78.0,V2,6-speed,88.0,66.0,13.5,Desmodromic valve control,Air,Chain,169.0,1450.0,770.0
triumph,Enduro / offroad,955.0,125.0,92.0,In-line three,6-speed,79.0,65.0,16.6,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,215.0,1515.0,840.0
moto guzzi,Custom / cruiser,935.6,75.0,75.0,V2,6-speed,95.0,66.0,19.0,Overhead Valves (OHV),Air,Shaft drive,223.0,1560.0,760.0
bmw,Scooter,647.0,60.0,63.0,Twin,Automatic,79.0,66.0,15.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,236.8,1591.0,800.0
yamaha,Sport touring,599.0,50.0,53.9,In-line four,6-speed,58.5,55.7,20.0,Double Overhead Cams/Twin Cam (DOHC),Air,Chain,212.0,1445.0,790.0
honda,Scooter,124.8,9.4,10.4,Single cylinder,Automatic,52.4,57.9,3.8,Overhead Cams (OHC),Air,Belt,96.3,1237.0,776.0
aprilia,Naked bike,1077.0,175.0,121.0,V4,6-speed,81.0,52.3,18.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,184.0,1445.0,825.0
triumph,Classic,1200.0,80.0,105.0,Twin,6-speed,97.6,80.0,12.87,Single Overhead Cams (SOHC),Air,Chain,224.0,1445.0,790.0
ducati,Sport,1285.0,205.0,144.0,V2,6-speed,116.0,60.8,17.0,Desmodromic valve control,Liquid,Chain,166.5,1437.0,830.0
ktm,Super motard,999.0,114.0,97.0,V2,6-speed,101.0,62.4,15.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,189.0,1510.0,875.0
triumph,Naked bike,675.0,106.0,68.0,In-line three,6-speed,74.0,52.3,17.4,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,168.0,1410.0,800.0
zontes,Allround,312.0,34.9,30.0,Single cylinder,6-speed,80.0,62.0,15.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,147.0,1488.0,795.0
triumph,Naked bike,675.0,106.0,68.0,In-line three,6-speed,74.0,52.3,17.4,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,168.0,1410.0,820.0
harley-davidson,Custom / cruiser,1449.0,67.0,110.0,V2,5-speed,95.3,101.6,18.8,Overhead Valves (OHV),Air,Belt,322.0,1592.0,729.0
aprilia,Allround,839.3,76.1,73.0,V2,Automatic,88.0,69.0,16.0,Single Overhead Cams (SOHC),Liquid,Chain,189.0,1463.0,800.0
moto guzzi,Sport touring,1151.0,102.0,104.0,V2,6-speed,95.0,81.2,23.0,Overhead Valves (OHV),Air,Shaft drive,257.0,1495.0,800.0
honda,Touring,996.0,92.5,98.0,V2,6-speed,98.0,66.0,25.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,244.2,1560.0,838.0
ducati,Sport,848.0,140.0,98.0,V2,6-speed,94.0,61.2,15.5,Desmodromic valve control,Liquid,Chain,168.0,1430.0,830.0
bmw,Sport,999.0,193.0,112.0,In-line four,6-speed,80.0,49.7,17.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,178.0,1432.0,814.0
